CustomerID,Recency,Frequency,Monetary,Customer_Lifetime_Days,Purchase_Velocity,Spend_Velocity,Purchase_Interval_Mean,Purchase_Interval_Std,Purchase_Interval_Max,Purchase_Regularity_Index,Invoice_Value_Mean,Invoice_Value_Std,Invoice_Value_Max,Invoice_Value_Min,Invoice_Value_CV,Invoice_Value_Range,Spending_Momentum,Spending_Momentum_Ratio,Avg_Products_Per_Invoice,Std_Products_Per_Invoice,Avg_Quantity_Per_Invoice
12346,326,1,77183.6,1,1.0,77183.6,0.0,0.0,0.0,1.0,77183.6,0.0,77183.6,77183.6,0.0,0.0,0.0,0.0,1.0,0.0,74215.0
12347,2,7,4310.0,366,0.01912568306010929,11.775956284153006,60.333333333333336,18.47881670093263,90.0,0.05133782073898364,615.7142857142857,341.07078946836157,1294.32,224.82,0.5539432775588239,1069.5,13.832500000000095,1.0227579342228659,26.0,11.430952132988164,351.14285714285717
12348,75,4,1797.24,283,0.014134275618374558,6.350671378091873,94.0,70.14983962918234,173.0,0.01405484545308584,449.31,301.1599183158343,892.8,227.44,0.6702720133445379,665.3599999999999,-221.62,0.6043347854031279,6.75,4.349329450233296,585.25
12349,19,1,1757.55,1,1.0,1757.55,0.0,0.0,0.0,1.0,1757.55,0.0,1757.55,1757.55,0.0,0.0,0.0,0.0,73.0,0.0,631.0
12350,310,1,334.40000000000003,1,1.0,334.40000000000003,0.0,0.0,0.0,1.0,334.40000000000003,0.0,334.40000000000003,334.40000000000003,0.0,0.0,0.0,0.0,17.0,0.0,197.0
12352,36,8,2506.04,261,0.03065134099616858,9.601685823754789,36.857142857142854,64.53791797960992,181.0,0.015258342511141701,313.255,230.5931599778524,840.3,120.33000000000001,0.7361196468623084,719.9699999999999,-74.23000000000002,0.7881382538459343,10.375,5.95069023607466,67.0
12353,204,1,89.0,1,1.0,89.0,0.0,0.0,0.0,1.0,89.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0
12354,232,1,1079.4,1,1.0,1079.4,0.0,0.0,0.0,1.0,1079.4,0.0,1079.4,1079.4,0.0,0.0,0.0,0.0,58.0,0.0,530.0
12355,214,1,459.4,1,1.0,459.40000000000003,0.0,0.0,0.0,1.0,459.40000000000003,0.0,459.40000000000003,459.40000000000003,0.0,0.0,0.0,0.0,13.0,0.0,240.0
12356,23,3,2811.43,303,0.009900990099009901,9.278646864686468,151.0,100.40916292848975,222.0,0.009861041853832927,937.1433333333333,1174.8942498937226,2271.62,58.349999999999994,1.2536974954671352,2213.27,-2001.715,0.11881608719768273,19.666666666666668,17.03917055884274,530.3333333333334
