CustomerID,Recency,Frequency,Monetary,Customer_Lifetime_Days,Purchase_Velocity,Purchase_Interval_Std,Purchase_Regularity_Index,Invoice_Value_CV
12346,326,1,77183.6,1,1.0,0.0,1.0,0.0
12347,2,7,4310.0,366,0.01912568306010929,18.47881670093263,0.05133782073898364,0.5539432775588239
12348,75,4,1797.24,283,0.014134275618374558,70.14983962918234,0.01405484545308584,0.6702720133445379
12349,19,1,1757.55,1,1.0,0.0,1.0,0.0
12350,310,1,334.40000000000003,1,1.0,0.0,1.0,0.0
12352,36,8,2506.04,261,0.03065134099616858,64.53791797960992,0.015258342511141701,0.7361196468623084
12353,204,1,89.0,1,1.0,0.0,1.0,0.0
12354,232,1,1079.4,1,1.0,0.0,1.0,0.0
12355,214,1,459.4,1,1.0,0.0,1.0,0.0
12356,23,3,2811.43,303,0.009900990099009901,100.40916292848975,0.009861041853832927,1.2536974954671352
12357,33,1,6207.67,1,1.0,0.0,1.0,0.0
12358,2,2,1168.06,150,0.013333333333333334,0.0,1.0,0.24013759392589407
12359,58,4,6310.03,275,0.014545454545454545,56.929781309961136,0.017262278182086768,0.6208990939084322
12360,52,3,2662.06,149,0.020134228187919462,19.79898987322333,0.04807925798778345,0.3449070165309344
12361,287,1,189.9,1,1.0,0.0,1.0,0.0
12362,3,10,5226.2300000000005,293,0.034129692832764506,25.90581230363393,0.037166690554253916,0.3177253736333017
12363,110,2,552.0,133,0.015037593984962405,0.0,1.0,0.11836352641600904
12364,8,4,1313.1,105,0.0380952380952381,2.516611478423584,0.2843646522044218,0.6818869631492375
12365,291,2,641.38,1,2.0,0.0,1.0,0.0
12367,4,1,168.9,1,1.0,0.0,1.0,0.0
12370,51,4,3541.94,310,0.012903225806451613,111.80488957703653,0.008864863958907399,0.6138676554696789
12371,45,2,1887.96,15,0.13333333333333333,0.0,1.0,0.8748834044732304
12372,72,3,1298.04,225,0.013333333333333334,41.012193308819754,0.02380261350911348,0.1672059831498657
12373,311,1,364.6,1,1.0,0.0,1.0,0.0
12374,25,1,742.9300000000001,1,1.0,0.0,1.0,0.0
12375,11,2,457.5,88,0.022727272727272728,0.0,1.0,0.00958264927509632
12377,315,2,1628.12,40,0.05,0.0,1.0,0.3256620819134466
12378,130,1,4008.62,1,1.0,0.0,1.0,0.0
12379,82,2,852.24,89,0.02247191011235955,0.0,1.0,0.11191045086647124
12380,22,4,2724.81,165,0.024242424242424242,46.357307945997036,0.02111606515176771,0.3699653413162198
12381,5,5,1845.31,116,0.04310344827586207,24.608602831801186,0.03904937753020182,1.4375720515321795
12383,185,5,1850.56,168,0.02976190476190476,18.5,0.05128205128205128,0.685605811395555
12384,29,2,585.27,93,0.021505376344086023,0.0,1.0,0.0002657978229894916
12386,338,2,401.9,30,0.06666666666666667,0.0,1.0,0.40783118158507525
12388,16,6,2780.6600000000003,312,0.019230769230769232,41.54756310543375,0.023503108686200876,0.7059169052644838
12390,80,1,549.84,1,1.0,0.0,1.0,0.0
12391,22,1,439.66,1,1.0,0.0,1.0,0.0
12393,72,4,1582.6,261,0.01532567049808429,85.04900548115383,0.011621284806353941,0.38272401312270804
12394,64,2,1272.48,154,0.012987012987012988,0.0,1.0,0.5671613425360226
12395,19,12,3018.63,352,0.03409090909090909,19.92166477161804,0.04779734361084794,0.29692852923902513
12397,36,2,2409.9,100,0.02,0.0,1.0,0.011572385347938634
12398,46,1,1635.66,1,1.0,0.0,1.0,0.0
