CustomerID,Recency,Frequency,Monetary,Spending_Mean,Spending_Std,Spending_CV,Interval_Mean,Interval_Std,Interval_CV,Behavioural_Entropy,Average_Basket_Value
12346,326,1,77183.6,77183.6,0.0,0.0,0.0,0.0,0.0,0.0,77183.6
12347,2,7,4310.0,23.681318681318682,23.289902310501176,0.983471512879632,2.0,11.260550608207398,5.630275304103699,2.064642435693519,23.681318681318682
12348,75,4,1797.24,57.97548387096774,48.51485730087981,0.8368167725664208,9.4,34.08872803890378,3.626460429670615,2.112679104803729,57.97548387096774
12349,19,1,1757.55,24.076027397260273,34.6559127045895,1.4394365039031796,0.0,0.0,0.0,2.0495411062968665,24.076027397260273
12350,310,1,334.40000000000003,19.67058823529412,7.275538185065965,0.36986886706376015,0.0,0.0,0.0,0.8717814824679821,19.67058823529412
12352,36,8,2506.04,29.482823529411764,51.68790029756352,1.7531529924873104,3.0714285714285716,20.15230305489979,6.561214948106908,1.935204018730171,29.482823529411764
12353,204,1,89.0,22.25,12.215427404174878,0.5490079732213429,0.0,0.0,0.0,1.3862943611198906,22.25
12354,232,1,1079.4,18.610344827586207,8.679742086377074,0.4663934046784049,0.0,0.0,0.0,2.3147742455237172,18.610344827586207
12355,214,1,459.4,35.338461538461544,29.70352219466962,0.8405437277551262,0.0,0.0,0.0,1.631345420808597,35.338461538461544
12356,23,3,2811.43,47.65135593220339,48.5722968956169,1.0193266475926477,5.206896551724138,30.81111591429054,5.917366632545865,2.4171278693145313,47.65135593220339
12357,33,1,6207.67,47.38679389312977,39.56476161876249,0.8349322325539028,0.0,0.0,0.0,1.9983897075642105,47.38679389312977
12358,2,2,1168.06,61.47684210526315,52.27752321904825,0.850361232438331,8.277777777777779,35.11963679893186,4.242640687119285,1.5306052420589422,61.47684210526315
12359,58,4,6310.03,25.755224489795918,31.521902111972487,1.2239032171690563,1.1188524590163935,11.298339817351385,10.098149873383655,2.1527424209971042,25.755224489795918
12360,52,3,2662.06,20.63612403100775,21.39461772670865,1.036755627876688,1.15625,9.37951990779845,8.112017217555415,1.7971749632769518,20.63612403100775
12361,287,1,189.9,18.990000000000002,3.280396317520186,0.17274335531965168,0.0,0.0,0.0,1.2798542258336676,18.990000000000002
12362,3,10,5226.2300000000005,19.64748120300752,9.664671282056695,0.4919038314477321,1.0830188679245283,7.3366487645477205,6.774257570052773,2.103841017573741,19.64748120300752
12363,110,2,552.0,24.0,15.751238912311859,0.6563016213463274,6.0,28.142494558940577,4.69041575982343,1.2283084125018164,24.0
12364,8,4,1313.1,15.448235294117646,8.910810071730502,0.5768173452875582,1.2261904761904763,6.421633599308174,5.2370604110862775,1.8409773478502476,15.448235294117646
12365,291,2,641.38,29.153636363636362,65.1966351414414,2.236312284623329,0.0,0.0,0.0,1.5100112442431772,29.153636363636362
12367,4,1,168.9,15.354545454545455,5.648958069655612,0.3679013544476716,0.0,0.0,0.0,1.6417347121875214,15.354545454545455
12370,51,4,3541.94,21.33698795180723,21.13609480485583,0.9905847466659705,1.8666666666666667,18.486492541963308,9.903478147480344,2.510311202543627,21.33698795180723
12371,45,2,1887.96,29.96761904761905,44.277857887191665,1.4775233833836918,0.22580645161290322,1.778001778002667,7.874007874011811,1.889003542207957,29.96761904761905
12372,72,3,1298.04,24.962307692307693,16.38258168926466,0.6562927551090586,4.392156862745098,22.709538464154264,5.170475275320836,1.824590857835111,24.962307692307693
12373,311,1,364.6,26.042857142857144,10.260282968486132,0.3939768556193249,0.0,0.0,0.0,1.6307991045856436,26.042857142857144
