CustomerID,Recency,Frequency,Monetary,Customer_Lifetime_Days,Purchase_Velocity,Purchase_Interval_Std,Purchase_Regularity_Index,Invoice_Value_CV,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster
12346,326,1,77183.6,1,1.0,0.0,1.0,0.0,3,2,2
12347,2,7,4310.0,366,0.0191256830601092,18.47881670093263,0.0513378207389836,0.5539432775588239,1,1,1
12348,75,4,1797.24,283,0.0141342756183745,70.14983962918234,0.0140548454530858,0.6702720133445379,1,1,1
12349,19,1,1757.55,1,1.0,0.0,1.0,0.0,0,3,2
12350,310,1,334.40000000000003,1,1.0,0.0,1.0,0.0,3,2,2
12352,36,8,2506.04,261,0.0306513409961685,64.53791797960992,0.0152583425111417,0.7361196468623084,1,1,1
12353,204,1,89.0,1,1.0,0.0,1.0,0.0,3,2,2
12354,232,1,1079.4,1,1.0,0.0,1.0,0.0,3,2,2
12355,214,1,459.4,1,1.0,0.0,1.0,0.0,3,2,2
12356,23,3,2811.43,303,0.0099009900990099,100.40916292848976,0.0098610418538329,1.2536974954671352,1,1,1
12357,33,1,6207.67,1,1.0,0.0,1.0,0.0,0,3,2
12358,2,2,1168.06,150,0.0133333333333333,0.0,1.0,0.240137593925894,2,0,0
12359,58,4,6310.03,275,0.0145454545454545,56.929781309961136,0.0172622781820867,0.6208990939084322,1,1,1
12360,52,3,2662.06,149,0.0201342281879194,19.79898987322333,0.0480792579877834,0.3449070165309344,1,1,1
12361,287,1,189.9,1,1.0,0.0,1.0,0.0,3,2,2
12362,3,10,5226.2300000000005,293,0.0341296928327645,25.90581230363393,0.0371666905542539,0.3177253736333017,1,1,1
12363,110,2,552.0,133,0.0150375939849624,0.0,1.0,0.118363526416009,2,0,0
12364,8,4,1313.1,105,0.0380952380952381,2.516611478423584,0.2843646522044218,0.6818869631492375,1,1,3
12365,291,2,641.38,1,2.0,0.0,1.0,0.0,3,2,3
12367,4,1,168.9,1,1.0,0.0,1.0,0.0,0,3,2
12370,51,4,3541.94,310,0.0129032258064516,111.80488957703652,0.0088648639589073,0.6138676554696789,1,1,1
12371,45,2,1887.96,15,0.1333333333333333,0.0,1.0,0.8748834044732304,2,0,0
12372,72,3,1298.04,225,0.0133333333333333,41.01219330881976,0.0238026135091134,0.1672059831498657,1,1,1
12373,311,1,364.6,1,1.0,0.0,1.0,0.0,3,2,2
