,count,mean,std,min,25%,50%,75%,max
CustomerID,4338.0,15300.408022130014,1721.8084917653168,12346.0,13813.25,15299.5,16778.75,18287.0
Recency,4338.0,92.53642231443061,100.01416863571656,1.0,18.0,51.0,142.0,374.0
Frequency,4338.0,4.272014753342554,7.697997826095039,1.0,1.0,2.0,5.0,209.0
Monetary,4338.0,2048.688080682342,8985.230220008294,3.75,306.48249999999996,668.57,1660.5975,280206.02
Spending_Mean,4338.0,68.38158951287828,1467.918294019367,2.1369696969696967,12.393195633251125,17.755000000000003,24.878950107681263,77183.6
Spending_Std,4338.0,50.68436849590343,1515.892098158428,0.0,5.842519768485678,9.567635898962305,19.136937011243138,97265.13175258388
Spending_CV,4338.0,0.7588851593225586,0.4700090644109822,0.0,0.4497487714740045,0.6997584119640182,0.9589974415457359,8.261794806338704
Interval_Mean,4338.0,3.215196993287473,10.790897070179005,0.0,0.0,1.0666666666666667,2.945602766798419,309.0
Interval_Std,4338.0,11.291682739042988,15.908006694799543,0.0,0.0,6.829211590114147,15.907523374906656,210.15549798502377
Interval_CV,4338.0,3.8225723860944623,3.5148741430482975,0.0,0.0,4.069305380747107,6.284233573766334,20.452104393558088
Behavioural_Entropy,4338.0,1.7104830397272086,0.5354518056365908,0.0,1.4543636611164812,1.8038167364842232,2.062036829412167,3.8770647308680712
Average_Basket_Value,4338.0,68.38158951287828,1467.918294019367,2.1369696969696967,12.393195633251125,17.755000000000003,24.878950107681263,77183.6
